TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_Binned,CustomerAge_Binned,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,1,0,1
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2,0,2
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,1,0,3
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,1,0,1
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,1,1,3
7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,1,0,2
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,1,0,3
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,1,0,1
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,0,0,0
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,1,0,1
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,1,0,3
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,2,0,0
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,0,0,0
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,1,1,3
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2,0,0
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,2,0,0
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2,0,1
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,1,0,1
71.48,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,1,1,1
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,1,0,1
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,1,0,1
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,1,0,1
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,1.0,1402.5,2,0,3
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,1,0,3
7.49,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,1,0,3
246.93,Debit,Miami,ATM,23.0,Student,158.0,1.0,673.3499999999999,1,0,3
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,1,0,3
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,1,0,3
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,1,0,3
28.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,1,0,1
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,1,0,2
396.45,Debit,New York,ATM,49.0,Engineer,168.00000000000003,1.0,9690.15,2,0,2
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,0,0,0
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,1,0,2
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,1,0,1
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,1,0,3
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,1.0,7914.879999999999,0,0,1
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,2,0,3
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2,0,1
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,1,0,2
241.42000000000002,Credit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,1,0,2
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,1,0,3
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,2,0,3
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,2,0,1
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,1,0,3
510.23999999999995,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,2,0,0
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,0,0,0
22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,1,0,3
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,2,0,0
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,2,0,1
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,1,0,2
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,1,0,3
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,1,0,1
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,2,0,3
60.540000000000006,Credit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,1,0,3
292.56,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,1,0,1
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,2,0,1
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,1,0,3
568.52,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,2,0,1
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,1.0,4175.02,1,0,1
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2,0,1
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,2,0,1
5.77,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,1,0,2
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,1,0,3
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,1,0,3
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,2,0,0
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,1,0,3
189.12,Credit,Indianapolis,,32.0,Engineer,103.0,1.0,977.01,1,0,3
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,1,0,3
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,1,0,1
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,1,0,1
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,1,0,1
905.6600000000001,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999999,0,0,0
232.12,Debit,,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,1,0,1
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,1,0,2
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,1,0,3
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,1,0,2
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,1,0,3
345.39,Credit,Phoenix,,58.0,Engineer,80.0,1.0,6451.96,2,0,1
905.6600000000001,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,0,0,0
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,1,0,1
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,1,0,3
905.6600000000001,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,0,0,1
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,1,0,2
568.07,,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,2,0,2
9.61,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,1,0,2
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,2,0,3
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,0,0,0
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,1.0,2929.91,1,0,3
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,1,0,3
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,0,0,0
508.67999999999995,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,2,0,1
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,0,0,0
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,1,0,3
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,1,0,3
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,1,0,1
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2,0,1
98.54,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,1,0,2
83.24,,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,1,0,3
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,1,0,2
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,1,0,1
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,2,0,2
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,1,0,1
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,0,0,0
503.76000000000005,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,2,0,0
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,1,0,1
905.6600000000001,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,0,0,0
245.54,,New York,ATM,25.0,Student,180.0,1.0,985.0600000000001,1,0,3
254.37000000000003,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,1,0,1
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,1,0,3
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,2,0,3
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,1,0,2
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,1,0,2
56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,1.0,5688.37,1,0,1
407.65,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,2,0,1
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,1,0,1
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,1,0,3
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,1,0,2
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,2,0,3
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,2,0,1
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,1,0,1
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,1,0,2
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2,0,0
